นิวยอร์ก	newˑyɔ̂ɔk
ราเชนทร์	raaˑcheen
ราไชศวรรย์	raaˑchayˑsaˑwǎn
ราชัย	raaˑchay
ราชวโรงการ	raaˑchaˑwaˑrooŋˑkaan
ราชทินนาม	raaˑchaˑthinˑnaˑnaam
ราชภัฏ	raaˑchaˑphát
ราชัน	raaˑchan
ราชันย์	raaˑchan
ราชาวลี	raaˑchaaˑwaˑlii
ราชาวดี	raaˑchaaˑwaˑdii
ราชาธิราช	raaˑchaaˑthíˑrâat
ราชาศัพท์	raaˑchaaˑsàp
ราชาฤกษ์	raaˑchaaˑrə̂ək
ราชาภิเษก	raaˑchaaˑphíˑsèek
ราชาคณะ	raaˑchaaˑkháˑná
ราชะ	raaˑchá
เรืออากาศตรี	rʉaˑaaˑkàatˑtrii
เรืออากาศโท	rʉaˑaaˑkàatˑthoo
เรืออากาศเอก	rʉaˑaaˑkàatˑèek
ระอา	ráˑaa
หรา	rǎa
ร่า	râa
ร้า	ráa
รา	raa
เรื้อ	rʉ́a
เรื่อ	rʉ̂a
เรือ	rʉa
รื้อ	rʉ́ʉ
ฤๅ	rʉʉ
หรือ	rʉ̌ʉ
ปุ๋ยธรรมชาติ	pǔyˑthamˑmaˑchâat
ปุยนุ่น	puyˑnûn
ปุ๋ยไนโตรเจน	pǔyˑnayˑtrooˑceen
ปุ๋ยหมัก	pǔyˑmàk
ปุ๋ยคอก	pǔyˑkhɔ̂ɔk
ปุ๋ยเคมี	pǔyˑkheeˑmii
ปุ๋ยอินทรีย์	pǔyˑinˑsii
ปุยฝ้าย	puyˑfâay
ปุ๋ย	pǔy
ปุ้ย	pûy
ปุย	puy
ปู้ยี่ปู้ยำ	pûuˑyîiˑpûuˑyam
ปู่ย่าตายาย	pùuˑyâaˑtaaˑyaay
ปู่ย่า	pùuˑyâa
ปูโต๊ะ	puuˑtó
ปู่ทวด	pùuˑthûat
ปูที่นอน	puuˑthîiˑnɔɔn
ปูทะเล	puuˑtháˑlee
ปูด	pùut
ปูเสฉวน	puuˑsěeˑchǔan
ปูพรม	puuˑphrom
ปูพื้น	puuˑphʉ́ʉn
ปูนสุก	puunˑsùk
ปูนสอ	puunˑsɔ̌ɔ
ปูนซีเมนต์	puunˑsiiˑmeen
ปูนปลาสเตอร์	puunˑpláatˑsaˑtə̂ə
ปูนเปียก	puunˑpìak
ปูนผิว	puunˑphǐw
ปูนเพชร	puunˑphéet
ปูนปั้น	puunˑpân
ปู่น้อย	pùuˑnɔ́ɔy
ปูนขาว	puunˑkhǎaw
ปูนดิบ	puunˑdìp
ปูนแดง	puunˑdɛɛŋ
ปูนบำเหน็จ	puunˑbamˑnèt
ปูนา	puuˑnaa
ปูน	puun
ปูมหลัง	puumˑlǎŋ
ปูมโหร	puumˑhǒon
ปูแมงมุม	puuˑmɛɛŋˑmum
ปูม้า	puuˑmáa
ปูม	puum
ปูเล	puuˑlee
ปูเค็ม	puuˑkhem
ปูชนียวัตถุ	puuˑchaˑniiˑyaˑwátˑthù
ปูชนียสถาน	puuˑchaˑniiˑyaˑsaˑthǎan
ปูชนียบุคคล	puuˑchaˑniiˑyaˑbùkˑkhon
ปู่เจ้า	pùuˑcâw
ปูจ๋า	puuˑcǎa
ปู่	pùu
ปู	puu
ปุถุชน	pùˑthùˑchon
ปุจฉา	pùtˑchǎa
ปุด	pùt
ปุบปับ	pùpˑpàp
ปุ๊บปั๊บ	púpˑpáp
ปุปะ	pùˑpà
ปุ๊บ	púp
ปุงลิงค์	puŋˑliŋ
ปุ้งกี๋	pûŋˑkǐi
ปุ่มๆ ป่ำๆ	pùmˑpùmˑpàmˑpàm
ปุ่มป่ำ	pùmˑpàm
ปุ่ม	pùm
ปุกปุย	pùkˑpuy
ป่วยหนัก	pùayˑnàk
ป่วยไข้	pùayˑkhây
ป่วยการ	pùayˑkaan
ป่วย	pùay
ปวดอุจจาระ	pùatˑùtˑcaaˑrá
ปวดท้องเยี่ยว	pùatˑthɔ́ɔŋˑyîaw
ปวดท้องเบา	pùatˑthɔ́ɔŋˑbaw
ปวดท้อง	pùatˑthɔ́ɔŋ
ปวดศีรษะ	pùatˑsǐiˑsà
ปวดแสบปวดร้อน	pùatˑsɛ̀ɛpˑpùatˑrɔ́ɔn
ปวดร้าว	pùatˑráaw
ปวดแปลบ	pùatˑplɛ̀ɛp
ปวดปัสสาวะ	pùatˑpàtˑsǎaˑwá
ปวดมวน	pùatˑmuan
ปวดเมื่อย	pùatˑmʉ̂ay
ปวดหลัง	pùatˑlǎŋ
ปวดกะโหลก	pùatˑkàˑlòok
ปวดกบาล	pùatˑkaˑbaan
ปวดหู	pùatˑhǔu
ปวดหัว	pùatˑhǔa
ปวดฟัน	pùatˑfan
ปวดใจ	pùatˑcay
ปวด	pùat
ป้วนเปี้ยน	pûanˑpîan
ป่วนปั่น	pùanˑpàn
ปวงประชา	puaŋˑpràˑchaa
ปวงชน	puaŋˑchon
ป่วง	pùaŋ
ปวง	puaŋ
ป่วนใจ	pùanˑcay
ป้วน	pûan
ป่วน	pùan
ปวกเปียก	pùakˑpìak
ปุ	pù
ปรูดปราด	prùutˑpràat
ปรูด	prùut
ปรู๊ฟ	prúup
ปรุโปร่ง	prùˑpròoŋ
ปรุงยา	pruŋˑyaa
ปรุงแต่ง	pruŋˑtɛ̀ŋ
ปรุงรส	pruŋˑrót
ปรุงอาหาร	pruŋˑaaˑhǎan
ปรุง	pruŋ
ปรวนแปร	pruanˑprɛɛ
ปรุ	prù
ปรบมือ	pròpˑmʉʉ
ปรบไก่	pròpˑkày
ปรบ	pròp
โปรยยิ้ม	prooyˑyím
ปรอยๆ	prɔɔyˑprɔɔy
โปรยปราย	prooyˑpraay
ปรอย	prɔɔy
โปรย	prooy
โปรตุเกส	prooˑtùˑkèet
โปรดสัตว์	pròotˑsàt
โปรดปราน	pròotˑpraan
โปรตอน	prooˑtɔɔn
โปรดเกล้าโปรดกระหม่อม	pròotˑklâwˑpròotˑkràˑmɔ̀m
โปรดเกล้า	pròotˑklâw
โปรตีน	prooˑtiin
โปรเตสแตนต์	prooˑtɛ́ɛtˑtɛ́ɛn
ปรอด	prɔ̀ɔt
โปรด	pròot
โปร่งตา	pròoŋˑtaa
โปร่งแสง	pròoŋˑsɛ̌ɛŋ
โปร่งใส	pròoŋˑsǎy
โปร่งลม	pròoŋˑlom
ปรองดอง	prɔɔŋˑdɔɔŋ
โปร่งบาง	pròoŋˑbaaŋ
โปร่ง	pròoŋ
โปรแกรมตรวจหาไวรัส	prooˑkrɛɛmˑtrùatˑhǎaˑwayˑrát
โปรแกรมภาษาเครื่อง	prooˑkrɛɛmˑphaaˑsǎaˑkhrʉ̂aŋ
โปรแกรมเมอร์	prooˑkrɛɛmˑmə̂ə
โปรแกรมย่อย	prooˑkrɛɛmˑmaˑyɔ̂y
โปรแกรมหลัก	prooˑkrɛɛmˑlàk
โปรแกรมควบคุม	prooˑkrɛɛmˑkhûapˑkhum
โปรแกรมคอมพิวเตอร์	prooˑkrɛɛmˑkhɔɔmˑphiwˑtə̂ə
โปรแกรมการประมวลผล	prooˑkrɛɛmˑkaanˑpràˑmuanˑphǒn
โปรแกรมใช้งาน	prooˑkrɛɛmˑcháyˑŋaan
โปรแกรม	prooˑkrɛɛm
ปรนเปรอ	pronˑprəə
ปรนปรือ	pronˑprʉʉ
ปรนนิบัติ	pronˑníˑbàt
ปรกติ	pròkˑkaˑtì
ปรก	pròk
เปราะบาง	prɔ̀ˑbaaŋ
เปราะ	prɔ̀
ปรึกษาหารือ	prʉ̀kˑsǎaˑhǎaˑrʉʉ
ปรึกษา	prʉ̀kˑsǎa
ปริยานุช	prìˑyaaˑnút
ปริศนาธรรม	prìtˑsaˑnǎaˑtham
ปริศนาลายแทง	prìtˑsaˑnǎaˑlaayˑthɛɛŋ
ปริศนาอักษรไขว้	prìtˑsaˑnǎaˑàkˑsɔ̌ɔnˑkhwây
ปริศนา	prìtˑsaˑnǎa
ปฤษฎางค์	prìtˑsaˑdaaŋ
ปฤจฉาคุณศัพท์	prìtˑchǎaˑkhunˑnaˑsàp
ปริซึม	prìˑsʉ̂m
ปริบๆ	prìpˑprìp
ปริปาก	prìˑpàak
ปริ่ม	prìm
ปริก	prìk
ปรีดา	priiˑdaa
ปรีชาญาณ	priiˑchaaˑyaan
ปรีชา	priiˑchaa
ปรี่	prìi
เปรี้ยวหวาน	prîawˑwǎan
เปรี้ยวปาก	prîawˑpàak
เปรี้ยวจี๊ด	prîawˑcíit
เปรี้ยว	prîaw
เปรียว	priaw
เปรียบเทียบ	prìapˑthîap
เปรียบเสมือน	prìapˑsaˑmʉ̌an
เปรียบเปรย	prìapˑprəəy
เปรียบกับ	prìapˑkàp
เปรียบ	prìap
เปรี้ยงปร้าง	prîaŋˑprâaŋ
เปรี้ยง	prîaŋ
เปรี๊ยะ	pría
ปริ	prì
เปรอะเปื้อน	prə̀ˑpʉ̂an
แปร่งหู	prɛ̀ŋˑhǔu
เปรยๆ	prəəyˑprəəy
เปรยปราย	prəəyˑpraay
แปรญัตติ	prɛɛˑyátˑtì
เปรย	prəəy
แปรธาตุ	prɛɛˑthâat
เปรต	prèet
แปรสภาพ	prɛɛˑsaˑphâap
แปรรูป	prɛɛˑrûup
แปรปรวน	prɛɛˑpruan
แปรเปลี่ยน	prɛɛˑplìan
แปรผันตรง	prɛɛˑphǎnˑtroŋ
แปรผันแบบผกผัน	prɛɛˑphǎnˑbɛ̀ɛpˑphòkˑphǎn
แปรผัน	prɛɛˑphǎn
แปรพักตร์	prɛɛˑphák
แปรไป	prɛɛˑpay
แปรปากหลากคำ	prɛɛˑpàakˑlàakˑkham
แปรงสีฟัน	prɛɛŋˑsǐiˑfan
แปรงซักผ้า	prɛɛŋˑsákˑphâa
แปรงล้างขวด	prɛɛŋˑláaŋˑkhùat
แปรงขัดรองเท้า	prɛɛŋˑkhàtˑrɔɔŋˑtháaw
แปรงหูหนู	prɛɛŋˑhǔuˑnǔu
แปรงฟัน	prɛɛŋˑfan
แปร่ง	prɛ̀ɛŋ
แปรง	prɛɛŋ
เปรม	preem
แปรไข้	prɛɛˑkhây
แปรขบวน	prɛɛˑkhaˑbuan
แปรอักษร	prɛɛˑàkˑsɔ̌ɔn
แปร๋	prɛ̌ɛ
แปร	prɛɛ
แประ	prɛ̀
เปรอะ	prə̀
ไปรเวต	prayˑwêet
ประยูรญาติ	pràˑyuunˑyâat
ประยูรวงศ์	pràˑyuunˑwoŋ
ประยูร	pràˑyuun
ประยุกต์ใช้	pràˑyùkˑcháy
ประยุกต์	pràˑyùk
ไปรษณียวัตถุ	prayˑsaˑniiˑyaˑwátˑthù
ไปรษณียภัณฑ์	prayˑsaˑniiˑyaˑphan
ไปรษณียนิเทศ	prayˑsaˑniiˑyaˑníˑthêet
ไปรษณียบัตร	prayˑsaˑniiˑyaˑbàt
ไปรษณียากร	prayˑsaˑniiˑyaaˑkɔɔn
ไปรษณีย์โทรเลข	prayˑsaˑniiˑthooˑraˑlêek
ไปรษณีย์รับรอง	prayˑsaˑniiˑrápˑrɔɔŋ
ไปรษณีย์ลงทะเบียน	prayˑsàˑniiˑloŋˑtháˑbian
ปณก.	prayˑsaˑniiˑklaaŋ
ไปรษณีย์อากาศ	prayˑsaˑniiˑaaˑkàat
ปณ.	prayˑsaˑnii
ไปรษณีย์	prayˑsaˑnii
ประโยชน์ส่วนตัว	pràˑyòotˑsùanˑtua
ประโยชน์ส่วนรวม	pràˑyòotˑsùanˑruam
ประโยชน์นิยม	pràˑyòotˑníˑyom
ประโยชน์	pràˑyòot
ประโยคปฏิเสธ	pràˑyòokˑpàˑtìˑsèet
ประโยคคำถาม	pràˑyòokˑkhamˑthǎam
ประโยคบอกเล่า	pràˑyòokˑbɔ̀ɔkˑlâw
ประโยค	pràˑyòok
ประยงค์	pràˑyoŋ
ประหยัดเวลา	pràˑyàtˑweeˑlaa
ประหยัดถ้อยคำ	pràˑyàtˑthɔ̂ɔyˑkham
ประหยัด	pràˑyàt
ประวิสรรชนีย์	pràˑwíˑsǎnˑcháˑnii
ประวิง	pràˑwiŋ
ประเวณี	pràˑweeˑnii
ประวัติย่อ	pràˑwátˑyɔ̂ɔ
ประวัติศาสตร์ซ้ำรอย	pràˑwátˑtìˑsàatˑsámˑrɔɔy
ประวัติศาสตร์	pràˑwátˑtìˑsàat
ประวัติการ	pràˑwátˑtìˑkaan
ประวัติการณ์	pràˑwátˑtìˑkaan
ประวัติส่วนตัว	pràˑwátˑsùanˑtua
ประวัติบุคคล	pràˑwátˑbùkˑkhon
ประหวัด	pràˑwàt
ประวัติ	pràˑwát
ประหวั่นพรั่นพรึง	pràˑwànˑphrânˑphrʉŋ
ประหวั่น	pràˑwàn
ปรัชญาการเมือง	pràtˑyaaˑkaanˑmʉaŋ
ปรัชญา	pràtˑyaa
ประตูรั้ว	pràˑtuuˑrûa
ประตูระบายน้ำ	pràˑtuuˑráˑbaayˑnám
ประตูป่า	pràˑtuuˑpàa
ประตูออก	pràˑtuuˑɔ̀ɔk
ประตูน้ำ	pràˑtuuˑnám
ประตูหน้าบ้าน	pràˑtuuˑnâaˑbâan
ประตูเมือง	pràˑtuuˑmʉaŋ
ประตูลม	pràˑtuuˑlom
ประตูเลื่อน	pràˑtuuˑlʉ̂an
ประตูกระจกเลื่อน	pràˑtuuˑkràˑcòkˑlʉ̂an
ประตูเข้า	pràˑtuuˑkhâw
ประตูฟุตบอล	pràˑtuuˑfútˑbɔɔn
ประตูฉุกเฉิน	pràˑtuuˑchùkˑchə̌ən
ประตูชัย	pràˑtuuˑchay
ประตู	pràˑtuu
ปรัศนี	pràtˑsaˑnii
ประติมากร	pràˑtìˑmaaˑkɔɔn
ประติมากรรม	pràˑtìˑmaaˑkam
ประทุษร้าย	pràˑthútˑsàˑráay
ประทุน	pràˑthun
ประทุมราค	pràˑthumˑmáˑrâak
ประทุก	pràˑthúk
ประทวนสินค้า	pràˑthuanˑsǐnˑkháa
ประท้วง	pràˑthûaŋ
ประถมศึกษา	pràˑthǒmˑsʉ̀kˑsǎa
ประถม	pràˑthǒm
ประทิ่น	pràˑthîn
ประทิน	pràˑthin
ประทีป	pràˑthîip
ประเทียด	pràˑthîat
ประเทียบ	pràˑthîap
ประเทศญี่ปุ่น	pràˑthêetˑyîiˑpùn
ประเทศอุตสาหกรรม	pràˑthêetˑùtˑsǎaˑhàˑkam
ประเทศไทย	pràˑthêetˑthay
ประเทศราช	pràˑthêetˑsàˑrâat
ประเทศสมาชิก	pràˑthêetˑsàˑmaaˑchík
ประเทศสหรัฐอเมริกา	pràˑthêetˑsaˑhaˑràtˑàˑmeeˑríˑkaa
ประเทศร้อน	pràˑthêetˑrɔ́ɔn
ประเทศพัฒนาแล้ว	pràˑthêetˑphátˑtháˑnaaˑlɛ́ɛw
ประเทศเนเธอร์แลนด์	pràˑthêetˑneeˑthəəˑlɛɛn
ประเทศมหาอำนาจ	pràˑthêetˑmáˑhǎaˑamˑnâat
ประเทศเกษตรกรรม	pràˑthêetˑkàˑsèetˑtràˑkam
ประเทศกันชน	pràˑthêetˑkanˑchon
ประเทศกำลังพัฒนา	pràˑthêetˑkamˑlaŋˑphátˑtháˑnaa
ประเทศอินเดีย	pràˑthêetˑinˑdia
ประเทศเอกราช	pràˑthêetˑèekˑkàˑràat
ประเทศด้อยพัฒนา	pràˑthêetˑdɔ̂yˑphátˑtháˑnaa
ประเทศจีน	pràˑthêetˑciin
ประเทศชาติ	pràˑthêetˑchâat
ประเทศอังกฤษ	pràˑthêetˑaŋˑkrìt
ประเทศ	pràˑthêet
ประเท้า	pràˑtháaw
ประทัด	pràˑthát
ประทับตรา	pràˑthápˑtraa
ประทับแรม	pràˑthápˑrɛɛm
ประทับฟ้อง	pràˑthápˑfɔ́ɔŋ
ประทับใจ	pràˑthápˑcay
ประทับ	pràˑtháp
ประเทืองปัญญา	pràˑthʉaŋˑpanˑyaa
ประทังชีวิต	pràˑthaŋˑchiiˑwít
ประเทือง	pràˑthʉaŋ
ประทัง	pràˑthaŋ
ประทักษิณ	pràˑthákˑsǐn
ประทานโทษ	pràˑthaanˑthôot
ประธานที่ประชุม	pràˑthaanˑthîiˑpràˑchum
ประธานรัฐสภา	pràˑthaanˑrátˑthàˑsàˑphaa
ประธานกรรมการ	pràˑthaanˑkamˑmáˑkaan
ประทานบัตร	pràˑthaanˑbàt
ปธน.	praˑthaaˑnaaˑthípˑbɔɔˑdii
ประธานาธิบดี	pràˑthaaˑnaaˑthípˑbɔɔˑdii
ประทาน	pràˑthaan
ประธาน	pràˑthaan
ปรัศว์	pràt
ประสูติ	pràˑsùut
ประสบอุบัติเหตุ	pràˑsòpˑùˑbàtˑtìˑhèet
ประสบผลสำเร็จ	pràˑsòpˑphǒnˑsǎmˑrèt
ประสบภัย	pràˑsòpˑphay
ประสบปัญหา	pràˑsòpˑpanˑhǎa
ประสบความสำเร็จ	pràˑsòpˑkhwaamˑsǎmˑrét
ประสบเคราะห์กรรม	pràˑsòpˑkhrɔ́ˑkam
ประสบการณ์นิยม	pràˑsòpˑkaanˑníˑyom
ประสบการณ์	pràˑsòpˑkaan
ประสพ	pràˑsòp
ประสบ	pràˑsòp
ประสงค์ร้าย	pràˑsǒŋˑráay
ประสงค์ดี	pràˑsǒŋˑdii
ประสงค์	pràˑsǒŋ
ประสมโรง	pràˑsǒmˑrooŋ
ประสมประเส	pràˑsǒmˑpràˑsěe
ประสมประสาน	pràˑsǒmˑpràˑsǎan
ประสม	pràˑsǒm
ประสก	pràˑsòk
ประสิทธิผล	pràˑsìtˑthíˑphǒn
ประสิทธิภาพ	pràˑsìtˑthíˑphâap
ประสิทธิ์ประสาท	pràˑsìtˑpràˑsàat
ประสิทธิ์	pràˑsìt
ประสีประสา	pràˑsǐiˑpràˑsǎa
ประเสริฐ	pràˑsə̀ət
ประสาทตา	pràˑsàatˑtaa
ประสาทสัมผัส	pràˑsàatˑsǎmˑphàt
ประสาทสมอง	pràˑsàatˑsàˑmɔ̌ɔŋ
ประสาทพร	pràˑsàatˑphɔɔn
ประสาทปริญญา	pràˑsàatˑpàˑrinˑyaa
ประสาทหลอน	pràˑsàatˑlɔ̌ɔn
ประสาทกิน	pràˑsàatˑkin
ประสาทหู	pràˑsàatˑhǔu
ประสาท	pràˑsàat
ประสานเสียง	pràˑsǎanˑsǐaŋ
ประสานงาน	pràˑsǎanˑŋaan
ประสานงา	pràˑsǎanˑŋaa
ประสานมือ	pràˑsǎanˑmʉʉ
ประสานกัน	pràˑsǎanˑkan
ประสาน	pràˑsǎan
ประสา	pràˑsǎa
ปรับตัว	pràpˑtua
ปรับทุกข์	pràpˑthúk
ปรับโทษ	pràpˑthôot
ประเปรียว	pràˑpriaw
ประปราย	pràˑpraay
ปรับราคา	pràpˑraaˑkhaa
ปรับปรุงแก้ไข	pràpˑpruŋˑkɛ̂ɛˑkhǎy
ปรับปรุง	pràpˑpruŋ
ปรับเปลี่ยน	pràpˑplìan
ปรับพื้น	pràpˑphʉ́ʉn
ปรับความเข้าใจ	pràpˑkhwaamˑkhâwˑcay
ปรับโครงสร้าง	pràpˑkhrooŋˑsâaŋ
ประพฤติตน	pràˑphrʉ́tˑton
ประพฤติตาม	pràˑphrʉ́tˑtaam
ประพฤติผิด	pràˑphrʉ́tˑphìt
ประพฤติมิชอบ	pràˑphrʉ́tˑmíˑchɔ̂ɔp
ประพฤติชอบ	pràˑphrʉ́tˑchɔ̂ɔp
ประพฤติ	pràˑphrʉ́t
ประพรม	pràˑphrom
ประพจน์	pràˑphót
ประพิมพ์ประพาย	pràˑphimˑpràˑphaay
ประเภท	pràˑphêet
ประเพณีพื้นบ้าน	pràˑpheeˑniiˑphʉ́ʉnˑbâan
ประเพณีนิยม	pràˑpheeˑniiˑníˑyom
ประเพณี	pràˑpheeˑnii
ประไพ	pràˑphay
ประภัสสร	pràˑphátˑsɔ̌ɔn
ประพัด	pràˑphát
ประพันธ์	pràˑphan
ประพาสต้น	pràˑphâatˑtôn
ประภาษ	pràˑphâat
ประภาส	pràˑphâat
ประพาส	pràˑphâat
ประภาพ	pràˑphâap
ประภามณฑล	pràˑphaaˑmonˑthon
ประภากร	pràˑphaaˑkɔɔn
ประภาคาร	pràˑphaaˑkhaan
ประแป้ง	pràˑpɛ̂ɛŋ
ปรับอากาศ	pràpˑaaˑkàat
ปรับอาบัติ	pràpˑaaˑbàt
ประปา	pràˑpaa
ปรับ	pràp
ประณต	pràˑnòt
ประนอมหนี้	pràˑnɔɔmˑnîi
ประนอม	pràˑnɔɔm
ประนมมือ	pràˑnomˑmʉʉ
ประนม	pràˑnom
ประณม	pràˑnom
ประหนึ่งว่า	pràˑnʉ̀ŋˑwâa
ประหนึ่ง	pràˑnʉ̀ŋ
ประณีตบรรจง	pràˑnîitˑbanˑcoŋ
ประณีต	pràˑnìit
ประนีประนอม	pràˑniiˑpràˑnɔɔm
เปรื่องปราด	prʉ̀aŋˑpràat
เปรื่อง	prʉ̀aŋ
ประณาม	pràˑnaam
ประมูล	pràˑmuun
ประมุข	pràˑmùk
ประมวลรัษฎากร	pràˑmuanˑrátˑsàˑdaaˑkɔɔn
ประมวลผลข้อมูล	pràˑmuanˑphǒnˑkhɔ̂ɔˑmuun
ประมวลผล	pràˑmuanˑphǒn
ประมวลกฎหมายแพ่งและพาณิชย์	pràˑmuanˑkòtˑmǎayˑphɛ̂ŋˑlɛ́ˑphaaˑnít
ประมวลกฎหมายอาญา	pràˑmuanˑkòtˑmǎayˑaaˑyaa
ประมวลกฎหมาย	pràˑmuanˑkòtˑmǎay
ประมวลการสอน	pràˑmuanˑkaanˑsɔ̌ɔn
ประมวล	pràˑmuan
ประมวญ	pràˑmuan
ประมงทะเล	pràˑmoŋˑtháˑlee
ประมงน้ำจืด	pràˑmoŋˑnámˑcʉ̀ʉt
ประมง	pràˑmoŋ
ประเมินราคา	pràˑməənˑraaˑkhaa
ประเมินผล	pràˑməənˑphǒn
ประเมินภาษี	pràˑməənˑphaaˑsǐi
ประเมินคุณค่า	pràˑməənˑkhunˑkhâa
ประเมินค่า	pràˑməənˑkhâa
ประเมิน	pràˑməən
ประมาทหน้า	pràˑmàatˑnâa
ประมาท	pràˑmàat
ประมาณตัว	pràˑmaanˑtua
ประมาณตน	pràˑmaanˑton
ประมาณการ	pràˑmaanˑkaan
ประมาณการณ์	pràˑmaanˑkaan
ประมาณ	pràˑmaan
ประหม่า	pràˑmàa
ประมือ	pràˑmʉʉ
ประลองยุทธ์	pràˑlɔɔŋˑyút
ประลอง	pràˑlɔɔŋ
ประโลมโลก	pràˑloomˑlôok
ประโลม	pràˑloom
ประเล้าประโลม	pràˑláwˑpràˑloom
ประหลาดตา	pràˑlàatˑtaa
ประหลาดใจ	pràˑlàatˑcay
ประหลาด	pràˑlàat
ประกวดราคา	pràˑkùatˑraaˑkhaa
ประกวดประขัน	pràˑkùatˑpràˑkhǎn
ประกวดนางงาม	pràˑkùatˑnaaŋˑŋaam
ประกวดความงาม	pràˑkùatˑkhwaamˑŋaam
ประกวด	pràˑkùat
ปรักปรำ	pràkˑpram
ประกบตัว	pràˑkòpˑtua
ประกบ	pràˑkòp
ประกอบธุรกิจ	pràˑkɔ̀ɔpˑthúˑráˑkìt
ประกอบคุณงามความดี	pràˑkɔ̀ɔpˑkhunˑŋaamˑkhwaamˑdii
ประกอบการ	pràˑkɔ̀ɔpˑkaan
ประกอบด้วย	pràˑkɔ̀ɔpˑdûay
ประกอบอาหาร	pràˑkɔ̀ɔpˑaaˑhǎan
ประกอบอาชีพ	pràˑkɔ̀ɔpˑaaˑchîip
ประกอบ	pràˑkɔ̀ɔp
ประคดเอว	pràˑkhótˑeew
ประคด	pràˑkhót
ประคบประหงม	pràˑkhópˑpràˑŋǒm
ประคบ	pràˑkhóp
ประคองตัว	pràˑkhɔɔŋˑtua
ประคอง	pràˑkhɔɔŋ
ประโคน	pràˑkhoon
ประโคมข่าว	pràˑkhoomˑkhàaw
ประโคม	pràˑkhoom
ประคนธรรพ	pràˑkhonˑtháp
ประเคน	pràˑkheen
ประคับประคอง	pràˑkhápˑpràˑkhɔɔŋ
ประคำร้อย	pràˑkhamˑrɔ́ɔy
ประคำ	pràˑkham
ปรักหักพัง	pràkˑhàkˑphaŋ
ประคารม	pràˑkhaaˑrom
ประกับ	pràˑkàp
ประกันวินาศภัย	pràˑkanˑwíˑnâatˑsàˑphay
ประกันตัว	pràˑkanˑtua
ประกันสังคม	pràˑkanˑsǎŋˑkhom
ประกันภัย	pràˑkanˑphay
ประกันชีวิต	pràˑkanˑchiiˑwít
ประกัน	pràˑkan
ประกายพรึก	pràˑkaayˑphrʉ́k
ประกายไฟฟ้า	pràˑkaayˑfayˑfáa
ประกายไฟ	pràˑkaayˑfay
ประกาย	pràˑkaay
ประกาศตัว	pràˑkàatˑtua
ประกาศสงคราม	pràˑkàatˑsǒŋˑkhraam
ประกาศรับ	pràˑkàatˑráp
ประกาศอิสรภาพ	pràˑkàatˑìtˑsàˑráˑphâap
ประกาศใช้	pràˑkàatˑcháy
ประกาศ	pràˑkàat
ประกาศิต	pràˑkaaˑsìt
ประกาศนียบัตรชั้นสูง	pràˑkaaˑsàˑniiˑyáˑbàtˑchánˑsǔuŋ
ประกาศนียบัตร	pràˑkaaˑsàˑniiˑyáˑbàt
ประการหนึ่ง	pràˑkaanˑnʉ̀ŋ
ประการใด	pràˑkaanˑday
ประการ	pràˑkaan
ปรัก	pràk
ประหัตประหาร	pràˑhàtˑpràˑhǎan
ประหารชีวิต	pràˑhǎanˑchiiˑwít
ประหาร	pràˑhǎan
ประฮาม	pràˑhaam
ประดู่	pràˑdùu
ประดุจดัง	pràˑdùtˑdaŋ
ประดุจ	pràˑdùt
ประดิษฐกรรม	pràˑdìtˑthàˑkam
ประดิษฐาน	pràˑdìtˑthǎan
ประดิดประดอย	pràˑdìtˑpràˑdɔɔy
ประดิษฐ์	pràˑdìt
ประเดี๋ยวประด๋าว	pràˑdǐawˑpràˑdǎaw
ประเดี๋ยวนี้	pràˑdǐawˑníi
ประเดี๋ยวก่อน	pràˑdǐawˑkɔ̀ɔn
ประเดี๋ยวเดียว	pràˑdǐawˑdiaw
ประเดี๋ยว	pràˑdǐaw
ประเด็นสำคัญ	pràˑdenˑsǎmˑkhan
ประเด็นหลัก	pràˑdenˑlàk
ประเด็น	pràˑden
ประเดิม	pràˑdəəm
ประเด	pràˑdee
ประดับยนต์	pràˑdàpˑyon
ประดับประดา	pràˑdàpˑpràˑdaa
ประดับไฟ	pràˑdàpˑfay
ประดับ	pràˑdàp
ประดัง	pràˑdaŋ
ประดักประเดิด	pràˑdàkˑpràˑdə̀ət
ประดักๆ	pràˑdàkˑpràˑdàk
ประดาตาย	pràˑdaaˑtaay
ประดาษ	pràˑdàat
ประดาน้ำ	pràˑdaaˑnám
ประดามี	pràˑdaaˑmii
ประดา	pràˑdaa
ประจุไฟฟ้า	pràˑcùˑfayˑfáa
ประจุบัน	pràˑcùˑban
ประจวบเหมาะ	pràˑcùapˑmɔ̀
ประจวบคีรีขันธ์	pràˑcùapˑkhiiˑriiˑkhǎn
ประจวบ	pràˑcùap
ประจุ	pràˑcù
ประจบสอพลอ	pràˑcòpˑsɔ̌ɔˑphlɔɔ
ประจบประแจง	pràˑcòpˑpràˑcɛɛŋ
ประจบ	pràˑcòp
ประจ๋อประแจ๋	pràˑcɔ̌ɔˑpràˑcɛ̌ɛ
ประจญ	pràˑcon
ประจิม	pràˑcim
ประเจียด	pràˑcìat
ประชุมสุดยอด	pràˑchumˑsùtˑyɔ̂ɔt
ประชุมพงศาวดาร	pràˑchumˑphoŋˑsǎaˑwáˑdaan
ประชุมเพลิง	pràˑchumˑphləəŋ
